reward_case,slip_case,slip_enabled,slip_prob,seed,gamma,first_success_episode,final100_success_rate,final100_mean_episode_length,final100_mean_total_reward,final100_mean_base_total_reward,final100_mean_illegal_actions,final100_mean_illegal_pickups,final100_mean_illegal_dropoffs,final100_mean_slipped_actions,final100_mean_pickup_step,final100_mean_dropoff_after_pickup_steps
original,no_slip,False,0.2,50,0.99,47,1.0,24.84,-6.81,-6.81,0.33,0.18,0.15,0.0,16.88,7.96
original,no_slip,False,0.2,48,0.99,36,1.0,27.95,-11.63,-11.63,0.52,0.26,0.26,0.0,20.08,7.87
original,no_slip,False,0.2,49,0.99,78,1.0,30.38,-13.61,-13.61,0.47,0.29,0.18,0.0,22.44,7.94
original,no_slip,False,0.2,52,0.99,11,1.0,29.68,-12.82,-12.82,0.46,0.21,0.25,0.0,21.8,7.88
original,no_slip,False,0.2,51,0.99,4,1.0,30.03,-12.99,-12.99,0.44,0.25,0.19,0.0,22.37,7.66
original,no_slip,False,0.2,53,0.99,6,1.0,29.29,-12.88,-12.88,0.51,0.2,0.31,0.0,21.48,7.81
original,no_slip,False,0.2,54,0.99,2,1.0,27.72,-10.14,-10.14,0.38,0.2,0.18,0.0,19.6,8.12
original,no_slip,False,0.2,56,0.99,7,1.0,28.96,-11.83,-11.83,0.43,0.29,0.14,0.0,20.87,8.09
original,no_slip,False,0.2,55,0.99,27,1.0,29.84,-13.07,-13.07,0.47,0.28,0.19,0.0,21.98,7.86
original,no_slip,False,0.2,58,0.99,32,1.0,27.02,-10.25,-10.25,0.47,0.23,0.24,0.0,19.29,7.73
original,no_slip,False,0.2,57,0.99,21,1.0,28.69,-11.74,-11.74,0.45,0.31,0.14,0.0,20.66,8.03
original,no_slip,False,0.2,59,0.99,29,1.0,29.75,-13.07,-13.07,0.48,0.24,0.24,0.0,21.46,8.29
original,no_slip,False,0.2,60,0.99,27,1.0,29.46,-11.97,-11.97,0.39,0.21,0.18,0.0,21.49,7.97
original,no_slip,False,0.2,61,0.99,9,1.0,29.97,-13.29,-13.29,0.48,0.18,0.3,0.0,21.81,8.16
original,no_slip,False,0.2,64,0.99,9,1.0,26.37,-9.15,-9.15,0.42,0.18,0.24,0.0,18.48,7.89
original,no_slip,False,0.2,63,0.99,45,1.0,30.56,-13.61,-13.61,0.45,0.2,0.25,0.0,22.57,7.99
original,no_slip,False,0.2,62,0.99,7,1.0,26.5,-10.27,-10.27,0.53,0.27,0.26,0.0,18.63,7.87
original,no_slip,False,0.2,65,0.99,2,1.0,31.55,-15.05,-15.05,0.5,0.24,0.26,0.0,23.68,7.87
original,no_slip,False,0.2,66,0.99,3,1.0,28.15,-10.93,-10.93,0.42,0.24,0.18,0.0,20.21,7.94
original,no_slip,False,0.2,67,0.99,1,1.0,28.61,-10.85,-10.85,0.36,0.17,0.19,0.0,20.76,7.85
original,no_slip,False,0.2,69,0.99,38,1.0,30.97,-15.28,-15.28,0.59,0.33,0.26,0.0,23.1,7.87
original,no_slip,False,0.2,68,0.99,18,1.0,28.46,-10.97,-10.97,0.39,0.18,0.21,0.0,20.3,8.16
original,no_slip,False,0.2,71,0.99,28,1.0,26.61,-9.3,-9.3,0.41,0.21,0.2,0.0,18.35,8.26
original,no_slip,False,0.2,70,0.99,7,1.0,29.78,-12.38,-12.38,0.4,0.18,0.22,0.0,21.47,8.31
original,no_slip,False,0.2,72,0.99,13,1.0,24.67,-7.99,-7.99,0.48,0.29,0.19,0.0,16.69,7.98
original,no_slip,False,0.2,73,0.99,9,1.0,27.83,-10.79,-10.79,0.44,0.22,0.22,0.0,19.72,8.11
original,no_slip,False,0.2,76,0.99,6,1.0,28.96,-12.64,-12.64,0.52,0.24,0.28,0.0,20.86,8.1
original,no_slip,False,0.2,75,0.99,24,1.0,27.63,-10.05,-10.05,0.38,0.17,0.21,0.0,19.7,7.93
original,no_slip,False,0.2,74,0.99,17,1.0,27.54,-11.49,-11.49,0.55,0.28,0.27,0.0,19.52,8.02
original,no_slip,False,0.2,77,0.99,2,1.0,28.7,-12.83,-12.83,0.57,0.28,0.29,0.0,20.96,7.74
original,no_slip,False,0.2,78,0.99,51,1.0,28.01,-10.34,-10.34,0.37,0.12,0.25,0.0,20.46,7.55
original,no_slip,False,0.2,79,0.99,15,1.0,28.42,-11.65,-11.65,0.47,0.21,0.26,0.0,20.55,7.87
original,no_slip,False,0.2,80,0.99,12,1.0,26.87,-9.47,-9.47,0.4,0.17,0.23,0.0,18.93,7.94
original,no_slip,False,0.2,81,0.99,9,1.0,29.64,-12.51,-12.51,0.43,0.28,0.15,0.0,21.88,7.76
original,no_slip,False,0.2,84,0.99,18,1.0,27.53,-10.67,-10.67,0.46,0.18,0.28,0.0,19.43,8.1
original,no_slip,False,0.2,82,0.99,19,1.0,27.01,-9.43,-9.43,0.38,0.2,0.18,0.0,19.11,7.9
original,no_slip,False,0.2,83,0.99,9,1.0,26.95,-10.72,-10.72,0.53,0.28,0.25,0.0,18.95,8.0
original,no_slip,False,0.2,86,0.99,3,1.0,29.61,-13.83,-13.83,0.58,0.31,0.27,0.0,21.89,7.72
original,no_slip,False,0.2,87,0.99,3,1.0,28.25,-11.12,-11.12,0.43,0.23,0.2,0.0,20.42,7.83
original,no_slip,False,0.2,85,0.99,4,1.0,31.48,-15.43,-15.43,0.55,0.26,0.29,0.0,23.3,8.18
original,no_slip,False,0.2,88,0.99,2,1.0,25.32,-8.73,-8.73,0.49,0.3,0.19,0.0,17.34,7.98
original,no_slip,False,0.2,90,0.99,7,1.0,26.63,-8.42,-8.42,0.31,0.16,0.15,0.0,18.73,7.9
original,no_slip,False,0.2,89,0.99,47,1.0,30.09,-13.05,-13.05,0.44,0.2,0.24,0.0,21.76,8.33
original,no_slip,False,0.2,91,0.99,9,1.0,26.39,-8.36,-8.36,0.33,0.18,0.15,0.0,18.47,7.92
original,no_slip,False,0.2,92,0.99,5,1.0,27.71,-11.12,-11.12,0.49,0.25,0.24,0.0,20.03,7.68
original,no_slip,False,0.2,94,0.99,15,1.0,27.87,-10.83,-10.83,0.44,0.2,0.24,0.0,19.92,7.95
original,no_slip,False,0.2,95,0.99,18,1.0,25.48,-7.45,-7.45,0.33,0.2,0.13,0.0,17.77,7.71
original,no_slip,False,0.2,96,0.99,25,1.0,28.8,-12.39,-12.39,0.51,0.25,0.26,0.0,20.63,8.17
original,no_slip,False,0.2,93,0.99,89,1.0,30.3,-12.54,-12.54,0.36,0.19,0.17,0.0,22.34,7.96
original,no_slip,False,0.2,97,0.99,48,1.0,30.27,-14.22,-14.22,0.55,0.26,0.29,0.0,22.38,7.89
original,no_slip,False,0.2,98,0.99,38,1.0,25.8,-8.4,-8.4,0.4,0.15,0.25,0.0,18.1,7.7
original,no_slip,False,0.2,99,0.99,0,1.0,25.76,-8.9,-8.9,0.46,0.2,0.26,0.0,17.91,7.85
original,slip,True,0.2,0,0.99,35,0.97,56.92,-46.27,-46.27,1.08,0.57,0.51,10.96,40.865979381443296,11.628865979381443
original,slip,True,0.2,1,0.99,31,0.97,53.65,-42.28,-42.28,1.0,0.57,0.43,9.67,40.878787878787875,11.360824742268042
original,slip,True,0.2,4,0.99,8,0.98,52.7,-39.14,-39.14,0.78,0.37,0.41,9.74,38.734693877551024,10.959183673469388
original,slip,True,0.2,2,0.99,35,0.99,53.14,-39.28,-39.28,0.77,0.36,0.41,9.66,40.73737373737374,10.919191919191919
original,slip,True,0.2,3,0.99,3,0.97,54.21,-42.3,-42.3,0.94,0.5,0.44,10.04,40.204081632653065,11.123711340206185
original,slip,True,0.2,7,0.99,6,0.98,55.99,-43.87,-43.87,0.94,0.49,0.45,10.87,41.234693877551024,11.816326530612244
original,slip,True,0.2,5,0.99,7,0.99,50.99,-35.69,-35.69,0.61,0.28,0.33,9.97,38.676767676767675,10.808080808080808
original,slip,True,0.2,6,0.99,17,0.96,49.92,-36.24,-36.24,0.72,0.34,0.38,9.62,32.708333333333336,10.958333333333334
original,slip,True,0.2,9,0.99,2,0.97,46.97,-32.63,-32.63,0.67,0.39,0.28,8.64,30.90721649484536,11.329896907216495
original,slip,True,0.2,8,0.99,23,1.0,54.61,-41.08,-41.08,0.83,0.38,0.45,10.86,43.36,11.25
original,slip,True,0.2,10,0.99,20,0.96,60.86,-50.78,-50.78,1.12,0.64,0.48,11.72,45.43298969072165,11.125
original,slip,True,0.2,12,0.99,3,0.97,55.18,-42.37,-42.37,0.84,0.38,0.46,10.73,41.52040816326531,10.742268041237113
original,slip,True,0.2,13,0.99,3,0.99,53.75,-41.69,-41.69,0.97,0.46,0.51,10.01,41.0,11.272727272727273
original,slip,True,0.2,11,0.99,35,0.97,53.96,-41.33,-41.33,0.86,0.49,0.37,10.73,38.175257731958766,11.268041237113403
original,slip,True,0.2,15,0.99,2,0.99,50.3,-35.63,-35.63,0.68,0.42,0.26,9.44,37.57575757575758,11.212121212121213
original,slip,True,0.2,14,0.99,28,1.0,49.53,-36.81,-36.81,0.92,0.48,0.44,8.99,38.94,10.59
original,slip,True,0.2,18,0.99,7,0.98,55.63,-44.68,-44.68,1.07,0.54,0.53,10.83,42.05102040816327,10.63265306122449
original,slip,True,0.2,17,0.99,8,0.98,53.16,-40.68,-40.68,0.9,0.46,0.44,10.07,40.686868686868685,11.010204081632653
original,slip,True,0.2,16,0.99,7,1.0,60.99,-49.53,-49.53,1.06,0.51,0.55,11.51,50.2,10.79
original,slip,True,0.2,20,0.99,28,0.99,56.51,-43.73,-43.73,0.89,0.5,0.39,11.1,45.13,11.434343434343434
original,slip,True,0.2,19,0.99,24,0.98,52.78,-40.3,-40.3,0.9,0.45,0.45,10.01,40.42424242424242,10.948979591836734
original,slip,True,0.2,21,0.99,14,0.99,52.43,-39.11,-39.11,0.83,0.37,0.46,10.11,39.56565656565657,11.373737373737374
original,slip,True,0.2,23,0.99,16,0.99,50.83,-38.05,-38.05,0.89,0.47,0.42,9.87,38.343434343434346,10.97979797979798
original,slip,True,0.2,24,0.99,70,0.99,51.51,-36.39,-36.39,0.63,0.34,0.29,9.55,39.27272727272727,10.737373737373737
original,slip,True,0.2,25,0.99,0,0.99,57.08,-43.85,-43.85,0.84,0.26,0.58,10.32,46.73,10.424242424242424
original,slip,True,0.2,22,0.99,11,0.95,62.41,-50.74,-50.74,0.92,0.42,0.5,11.48,46.09375,10.68421052631579
original,slip,True,0.2,28,0.99,57,0.98,53.73,-41.97,-41.97,0.98,0.49,0.49,9.98,42.111111111111114,10.153061224489797
original,slip,True,0.2,29,0.99,29,0.99,50.23,-35.92,-35.92,0.72,0.34,0.38,9.49,37.08080808080808,11.636363636363637
original,slip,True,0.2,26,0.99,1,0.99,54.04,-41.17,-41.17,0.88,0.45,0.43,10.16,43.67,10.313131313131313
original,slip,True,0.2,27,0.99,28,0.99,45.38,-30.17,-30.17,0.62,0.34,0.28,8.72,32.98989898989899,10.828282828282829
original,slip,True,0.2,30,0.99,21,1.0,48.64,-34.21,-34.21,0.73,0.35,0.38,9.14,37.75,10.89
original,slip,True,0.2,31,0.99,1,0.98,49.53,-36.87,-36.87,0.88,0.42,0.46,9.21,35.37755102040816,11.081632653061224
original,slip,True,0.2,32,0.99,21,0.94,57.1,-46.36,-46.36,1.0,0.5,0.5,10.74,37.148936170212764,10.829787234042554
original,slip,True,0.2,34,0.99,8,0.96,54.43,-42.91,-42.91,0.96,0.4,0.56,9.89,39.628865979381445,10.333333333333334
original,slip,True,0.2,33,0.99,32,0.99,50.36,-36.23,-36.23,0.74,0.32,0.42,9.35,37.84848484848485,11.0
original,slip,True,0.2,37,0.99,8,0.96,51.39,-40.32,-40.32,1.01,0.51,0.5,9.6,35.15625,10.041666666666666
original,slip,True,0.2,39,0.99,10,0.96,55.69,-43.99,-43.99,0.94,0.41,0.53,10.69,41.98979591836735,10.760416666666666
original,slip,True,0.2,35,0.99,23,0.98,51.43,-38.77,-38.77,0.88,0.39,0.49,9.61,37.90816326530612,10.489795918367347
original,slip,True,0.2,36,0.99,3,0.98,55.47,-43.17,-43.17,0.92,0.45,0.47,10.32,43.64646464646464,10.46938775510204
original,slip,True,0.2,38,0.99,44,0.95,61.98,-50.94,-50.94,0.99,0.58,0.41,12.11,43.98947368421052,10.726315789473684
