reward_case,slip_case,n_seeds,first_success_episode_mean,first_success_episode_median,final100_success_rate_mean,final100_success_rate_std,final100_mean_episode_length_mean,final100_mean_episode_length_std,final100_mean_total_reward_mean,final100_mean_total_reward_std,final100_mean_base_total_reward_mean,final100_mean_base_total_reward_std,final100_mean_illegal_actions_mean,final100_mean_illegal_actions_std,final100_mean_pickup_step_mean,final100_mean_dropoff_after_pickup_steps_mean
no_step_penalty,no_slip,100,15.81,13.0,0.9991,0.008052228501376784,15.0079,2.3718416724545346,17.734,0.7279721384389884,3.95,2.9379354394650408,0.2248,0.06171750566128305,6.813706679700228,8.053482169521299
no_step_penalty,slip,100,20.57,12.5,0.9989,0.004691492407550197,22.2452,2.3309721733060806,16.561,0.6711809282032963,-4.3436,2.7410646460708277,0.3417,0.0637237567294739,10.874533271490414,11.240474853309022
original,no_slip,100,20.81,14.0,1.0,0.0,28.4215,1.7102243783323936,-11.529100000000001,2.0571506699286464,-11.529100000000001,2.0571506699286464,0.45640000000000003,0.0758057059231365,20.4664,7.9551
original,slip,100,18.81,16.5,0.9784999999999999,0.01539874060178988,52.955,4.370511030379247,-40.0916,5.425231870481192,-40.0916,5.425231870481192,0.8539,0.12926282833002994,39.54219021368226,10.914650339583162
sparse_success_only,no_slip,100,18.72,13.0,0.9915,0.027390737946476076,17.5867,6.655380303168105,0.9915,0.027390737946476076,-9.3076,28.03510328862799,1.3936000000000002,2.315671475801001,7.994751433157456,8.129368770315285
sparse_success_only,slip,100,18.93,11.5,0.9934999999999999,0.029793057289010532,24.475,6.5512800044700965,0.9934999999999999,0.029793057289010532,-11.095899999999999,21.343707661921723,0.8316,1.6227584197559686,12.085873314188586,11.523544829618277
sparse_success_only_gamma1,no_slip,100,18.72,13.0,0.9915,0.027390737946476076,17.584,6.65582952506047,0.9915,0.027390737946476076,-9.2941,28.038476957404608,1.3924,2.3160067165513816,7.989051433157456,8.132368770315283
sparse_success_only_gamma1,slip,100,18.93,11.5,0.9975,0.007017294652672371,23.8471,3.592362351242739,0.9975,0.007017294652672371,-8.9368,8.783024706210213,0.6708,0.6323735630403308,11.81772184494854,11.67799643011219
