variant,case,seed,is_slippery,dense_reward,first_success_episode,first_success_total_steps,resuccess_gap_episodes,post50_success_rate,post100_success_rate
holes_respawn_to_start,det_sparse,72,0,0,55,10832,114,0.0,0.0
holes_respawn_to_start,det_sparse,73,0,0,19,3637,145,0.0,0.0
holes_respawn_to_start,det_sparse,74,0,0,7,1256,60,0.0,0.01
holes_respawn_to_start,det_sparse,75,0,0,43,8521,97,0.0,0.01
holes_respawn_to_start,det_sparse,76,0,0,24,4773,43,0.04,0.02
holes_respawn_to_start,det_sparse,77,0,0,140,27934,186,0.0,0.0
holes_respawn_to_start,det_sparse,78,0,0,42,8369,84,0.0,0.01
holes_respawn_to_start,det_sparse,79,0,0,91,18033,33,0.02,0.02
holes_respawn_to_start,det_sparse,80,0,0,52,10392,169,0.0,0.0
holes_respawn_to_start,det_sparse,81,0,0,30,5825,37,0.02,0.02
holes_respawn_to_start,det_sparse,82,0,0,84,16715,191,0.0,0.0
holes_respawn_to_start,det_sparse,83,0,0,48,9546,53,0.0,0.03
holes_respawn_to_start,det_sparse,84,0,0,249,49677,34,0.02,0.01
holes_respawn_to_start,det_sparse,85,0,0,73,14488,10,0.02,0.03
holes_respawn_to_start,det_sparse,86,0,0,12,2295,3,0.02,0.01
holes_respawn_to_start,det_sparse,87,0,0,36,7079,11,0.02,0.02
holes_respawn_to_start,det_sparse,88,0,0,85,16923,497,0.0,0.0
holes_respawn_to_start,det_sparse,89,0,0,53,10519,95,0.0,0.01
holes_respawn_to_start,det_sparse,90,0,0,111,22125,99,0.0,0.01
holes_respawn_to_start,det_sparse,91,0,0,120,23981,87,0.0,0.01
holes_respawn_to_start,det_sparse,92,0,0,89,17683,63,0.0,0.01
holes_respawn_to_start,det_sparse,93,0,0,1,122,156,0.0,0.0
holes_respawn_to_start,det_sparse,94,0,0,106,21168,60,0.0,0.01
holes_respawn_to_start,det_sparse,95,0,0,147,29252,52,0.0,0.02
holes_respawn_to_start,det_sparse,96,0,0,79,15799,261,0.0,0.0
holes_respawn_to_start,det_sparse,97,0,0,230,45883,13,0.02,0.03
holes_respawn_to_start,det_sparse,98,0,0,45,8958,10,0.04,0.03
holes_respawn_to_start,det_sparse,99,0,0,88,17577,56,0.0,0.02
