case,snapshot_type,snapshot_label,distance,mean_value,count
det_sparse,fixed_episode,30000,10,0.8962117705265488,100
det_sparse,fixed_episode,30000,11,0.8914276036644835,100
det_sparse,fixed_episode,30000,12,0.884396177713554,100
det_sparse,fixed_episode,30000,13,0.8783386820641536,100
det_sparse,fixed_episode,30000,14,0.8775210229989614,100
det_sparse,event_based,first_success,0,0.0,100
det_sparse,event_based,first_success,1,0.05,100
det_sparse,event_based,first_success,2,0.0,100
det_sparse,event_based,first_success,3,0.0,100
det_sparse,event_based,first_success,4,0.0,100
det_sparse,event_based,first_success,5,0.0,100
det_sparse,event_based,first_success,6,0.0,100
det_sparse,event_based,first_success,7,0.0,100
det_sparse,event_based,first_success,8,0.0,100
det_sparse,event_based,first_success,9,0.0,100
det_sparse,event_based,first_success,10,0.0,100
det_sparse,event_based,first_success,11,0.0,100
det_sparse,event_based,first_success,12,0.0,100
det_sparse,event_based,first_success,13,0.0,100
det_sparse,event_based,first_success,14,0.0,100
det_sparse,event_based,first_success_plus_50,0,0.0,100
det_sparse,event_based,first_success_plus_50,1,0.0725645,100
det_sparse,event_based,first_success_plus_50,2,0.00845982571005,100
det_sparse,event_based,first_success_plus_50,3,0.000992935224822285,100
det_sparse,event_based,first_success_plus_50,4,0.00032442672534282796,100
det_sparse,event_based,first_success_plus_50,5,9.470278519003575e-05,100
det_sparse,event_based,first_success_plus_50,6,3.8847969392487997e-05,100
det_sparse,event_based,first_success_plus_50,7,1.601418352400074e-05,100
det_sparse,event_based,first_success_plus_50,8,6.265946987172501e-06,100
det_sparse,event_based,first_success_plus_50,9,2.7022057811602593e-06,100
det_sparse,event_based,first_success_plus_50,10,1.0225490243311061e-06,100
det_sparse,event_based,first_success_plus_50,11,6.497410760369392e-07,100
det_sparse,event_based,first_success_plus_50,12,4.85193774466165e-07,100
det_sparse,event_based,first_success_plus_50,13,5.408968799693697e-07,100
det_sparse,event_based,first_success_plus_50,14,7.532842843637862e-07,100
det_sparse,event_based,first_success_plus_100,0,0.0,100
det_sparse,event_based,first_success_plus_100,1,0.0973031000277108,100
det_sparse,event_based,first_success_plus_100,2,0.018782128091043408,100
det_sparse,event_based,first_success_plus_100,3,0.004136921195807653,100
det_sparse,event_based,first_success_plus_100,4,0.0023871429703138606,100
det_sparse,event_based,first_success_plus_100,5,0.0009143711146470762,100
det_sparse,event_based,first_success_plus_100,6,0.0005367958084126325,100
det_sparse,event_based,first_success_plus_100,7,0.0003281868526059966,100
det_sparse,event_based,first_success_plus_100,8,0.00017883924388099675,100
det_sparse,event_based,first_success_plus_100,9,0.00011900241231804033,100
det_sparse,event_based,first_success_plus_100,10,7.75615958384202e-05,100
det_sparse,event_based,first_success_plus_100,11,6.591223614401561e-05,100
det_sparse,event_based,first_success_plus_100,12,6.060353688792362e-05,100
det_sparse,event_based,first_success_plus_100,13,6.775362840888755e-05,100
det_sparse,event_based,first_success_plus_100,14,8.354638155206444e-05,100
det_dense,fixed_episode,0,0,0.0,100
det_dense,fixed_episode,0,1,0.0,100
det_dense,fixed_episode,0,2,0.0,100
det_dense,fixed_episode,0,3,0.0,100
det_dense,fixed_episode,0,4,0.0,100
det_dense,fixed_episode,0,5,0.0,100
det_dense,fixed_episode,0,6,0.0,100
det_dense,fixed_episode,0,7,0.0,100
det_dense,fixed_episode,0,8,0.0,100
det_dense,fixed_episode,0,9,0.0,100
det_dense,fixed_episode,0,10,0.0,100
det_dense,fixed_episode,0,11,0.0,100
det_dense,fixed_episode,0,12,0.0,100
det_dense,fixed_episode,0,13,0.0,100
det_dense,fixed_episode,0,14,0.0,100
det_dense,fixed_episode,100,0,0.0,100
det_dense,fixed_episode,100,1,0.04480661914606857,100
det_dense,fixed_episode,100,2,0.007877824437416537,100
det_dense,fixed_episode,100,3,0.004108482411405791,100
det_dense,fixed_episode,100,4,0.009054747243659476,100
det_dense,fixed_episode,100,5,0.012565475102366674,100
det_dense,fixed_episode,100,6,0.01832806817021849,100
det_dense,fixed_episode,100,7,0.027403438419346244,100
det_dense,fixed_episode,100,8,0.036344430505490674,100
det_dense,fixed_episode,100,9,0.04777853980234994,100
det_dense,fixed_episode,100,10,0.06783180868507403,100
det_dense,fixed_episode,100,11,0.08264382167153163,100
det_dense,fixed_episode,100,12,0.10219837625561326,100
det_dense,fixed_episode,100,13,0.12199637283119232,100
det_dense,fixed_episode,100,14,0.14335327243443083,100
det_dense,fixed_episode,500,0,0.0,100
det_dense,fixed_episode,500,1,0.23233037584011587,100
det_dense,fixed_episode,500,2,0.12462160969943663,100
det_dense,fixed_episode,500,3,0.06517617317243672,100
det_dense,fixed_episode,500,4,0.0999511687647459,100
det_dense,fixed_episode,500,5,0.095894762765214,100
det_dense,fixed_episode,500,6,0.10127154625420076,100
det_dense,fixed_episode,500,7,0.12109183528729743,100
det_dense,fixed_episode,500,8,0.1293335925208542,100
det_dense,fixed_episode,500,9,0.13914600942874789,100
det_dense,fixed_episode,500,10,0.16658132545321447,100
det_dense,fixed_episode,500,11,0.18477271104198578,100
det_dense,fixed_episode,500,12,0.20278502350718486,100
det_dense,fixed_episode,500,13,0.21936753035403847,100
det_dense,fixed_episode,500,14,0.23823980980843562,100
det_dense,fixed_episode,1000,0,0.0,100
det_dense,fixed_episode,1000,1,0.44193036422437526,100
det_dense,fixed_episode,1000,2,0.37301151700110713,100
det_dense,fixed_episode,1000,3,0.2560306437215385,100
det_dense,fixed_episode,1000,4,0.4735213484578014,100
det_dense,fixed_episode,1000,5,0.45897793310593094,100
det_dense,fixed_episode,1000,6,0.43394219830753816,100
det_dense,fixed_episode,1000,7,0.48541042681571894,100
det_dense,fixed_episode,1000,8,0.4868476527940094,100
det_dense,fixed_episode,1000,9,0.4907165232051777,100
det_dense,fixed_episode,1000,10,0.549753764109345,100
det_dense,fixed_episode,1000,11,0.571941429799056,100
det_dense,fixed_episode,1000,12,0.6051900921672801,100
det_dense,fixed_episode,1000,13,0.6309125580263232,100
det_dense,fixed_episode,1000,14,0.658134809879736,100
det_dense,fixed_episode,3000,0,0.0,100
det_dense,fixed_episode,3000,1,0.6078150374909778,100
det_dense,fixed_episode,3000,2,0.5830646698483006,100
det_dense,fixed_episode,3000,3,0.6194739545195125,100
det_dense,fixed_episode,3000,4,0.9995339158112265,100
det_dense,fixed_episode,3000,5,1.0049887968823326,100
det_dense,fixed_episode,3000,6,0.9539528640649844,100
det_dense,fixed_episode,3000,7,0.8900870092897565,100
det_dense,fixed_episode,3000,8,0.8765292953933754,100
det_dense,fixed_episode,3000,9,0.9108095243580843,100
det_dense,fixed_episode,3000,10,1.0069137181705872,100
det_dense,fixed_episode,3000,11,1.0273267134527149,100
det_dense,fixed_episode,3000,12,1.0385677823083805,100
det_dense,fixed_episode,3000,13,1.0498760890135974,100
det_dense,fixed_episode,3000,14,1.0626541822993836,100
det_dense,fixed_episode,10000,0,0.0,100
det_dense,fixed_episode,10000,1,0.7853796647508766,100
det_dense,fixed_episode,10000,2,0.9303891217209135,100
det_dense,fixed_episode,10000,3,0.8144575377693629,100
det_dense,fixed_episode,10000,4,1.016970283576032,100
det_dense,fixed_episode,10000,5,1.0229682529387418,100
det_dense,fixed_episode,10000,6,1.0234946348147302,100
det_dense,fixed_episode,10000,7,1.0024597012976402,100
det_dense,fixed_episode,10000,8,0.9331769952552836,100
det_dense,fixed_episode,10000,9,0.9566161396643591,100
det_dense,fixed_episode,10000,10,1.0301667363421028,100
det_dense,fixed_episode,10000,11,1.0387613469557493,100
det_dense,fixed_episode,10000,12,1.0491367952910045,100
det_dense,fixed_episode,10000,13,1.0618415017539804,100
det_dense,fixed_episode,10000,14,1.0773911095415591,100
det_dense,fixed_episode,30000,0,0.0,100
det_dense,fixed_episode,30000,1,0.7890626942462867,100
det_dense,fixed_episode,30000,2,0.9407798458179082,100
det_dense,fixed_episode,30000,3,0.8229427838168705,100
det_dense,fixed_episode,30000,4,1.0204630410032711,100
det_dense,fixed_episode,30000,5,1.0267538363279418,100
det_dense,fixed_episode,30000,6,1.028884920521584,100
det_dense,fixed_episode,30000,7,1.0079229623319752,100
det_dense,fixed_episode,30000,8,0.9383432352045897,100
det_dense,fixed_episode,30000,9,0.9604477700952708,100
det_dense,fixed_episode,30000,10,1.0376291783087177,100
det_dense,fixed_episode,30000,11,1.0466280093722624,100
det_dense,fixed_episode,30000,12,1.0549001327871117,100
det_dense,fixed_episode,30000,13,1.0635759744161821,100
det_dense,fixed_episode,30000,14,1.0775210229989547,100
det_dense,event_based,first_success,0,0.0,100
det_dense,event_based,first_success,1,0.05071457135714286,100
det_dense,event_based,first_success,2,0.001826869332491363,100
det_dense,event_based,first_success,3,0.0028256408120132647,100
det_dense,event_based,first_success,4,0.007754923083433573,100
det_dense,event_based,first_success,5,0.011369464230258973,100
det_dense,event_based,first_success,6,0.016573889540563564,100
det_dense,event_based,first_success,7,0.025753019186037913,100
det_dense,event_based,first_success,8,0.03379323000836624,100
det_dense,event_based,first_success,9,0.0428217088403426,100
det_dense,event_based,first_success,10,0.058987707390786175,100
det_dense,event_based,first_success,11,0.07164592330461632,100
det_dense,event_based,first_success,12,0.08797041013922857,100
det_dense,event_based,first_success,13,0.10470790425967381,100
det_dense,event_based,first_success,14,0.12663854180820433,100
det_dense,event_based,first_success_plus_50,0,0.0,100
det_dense,event_based,first_success_plus_50,1,0.07118785707142856,100
det_dense,event_based,first_success_plus_50,2,0.01049507144514456,100
det_dense,event_based,first_success_plus_50,3,0.005294642222763345,100
det_dense,event_based,first_success_plus_50,4,0.011970403647030512,100
det_dense,event_based,first_success_plus_50,5,0.016970452537731304,100
det_dense,event_based,first_success_plus_50,6,0.023946546156878152,100
det_dense,event_based,first_success_plus_50,7,0.03743656554891873,100
