case,holeless_first_success_episode_mean,respawn_first_success_episode_mean,terminal_first_success_episode_mean,hazard_cost_first_success_abs,irreversibility_cost_first_success_abs,total_hole_cost_first_success_abs,hazard_cost_first_success_ratio_vs_holeless,irreversibility_cost_first_success_ratio_vs_respawn,total_hole_cost_first_success_ratio_vs_holeless,holeless_post100_success_rate_mean,respawn_post100_success_rate_mean,terminal_post100_success_rate_mean,hazard_cost_post100_abs,irreversibility_cost_post100_abs,total_hole_cost_post100_abs,hazard_cost_post100_ratio_vs_holeless,irreversibility_cost_post100_ratio_vs_respawn,total_hole_cost_post100_ratio_vs_holeless,holeless_final_success_rate_ma,respawn_final_success_rate_ma,terminal_final_success_rate_ma,hazard_cost_final_success_ma_abs,irreversibility_cost_final_success_ma_abs,total_hole_cost_final_success_ma_abs,hazard_cost_final_success_ma_ratio_vs_holeless,irreversibility_cost_final_success_ma_ratio_vs_respawn,total_hole_cost_final_success_ma_ratio_vs_holeless
det_sparse,2.85,113.51,544.62,110.66000000000001,431.11,541.77,38.8280701754386,3.7979913663994362,190.09473684210525,0.4085000000000001,0.0109,0.0029000000000000002,0.39760000000000006,0.008,0.40560000000000007,0.9733170134638922,0.7339449541284404,0.9929008567931457,0.505,0.505,0.45830000000000004,0.0,0.046699999999999964,0.046699999999999964,0.0,0.0924752475247524,0.0924752475247524
det_dense,2.83,101.94,365.68,99.11,263.74,362.85,35.02120141342756,2.5872081616637237,128.21554770318022,0.41080000000000005,0.0113,0.0019,0.3995000000000001,0.009399999999999999,0.40890000000000004,0.9724926971762415,0.831858407079646,0.9953748782862707,0.505,0.505,0.46415000000000006,0.0,0.04084999999999994,0.04084999999999994,0.0,0.08089108910891077,0.08089108910891077
stoch_sparse,2.3,100.85,506.41,98.55,405.56000000000006,504.11,42.84782608695652,4.021417947446704,219.17826086956524,0.40329999999999994,0.009600000000000001,0.001,0.39369999999999994,0.0086,0.40229999999999994,0.9761963798661046,0.8958333333333333,0.9975204562360526,0.50495,0.3029,0.2936499999999999,0.20205,0.009250000000000091,0.2113000000000001,0.4001386275868898,0.030538131396500797,0.41845727299732666
stoch_dense,2.25,105.66,436.0,103.41,330.34000000000003,433.75,45.96,3.126443308726103,192.77777777777777,0.40069999999999995,0.0105,0.0013999999999999998,0.39019999999999994,0.0091,0.39929999999999993,0.9737958572498128,0.8666666666666667,0.996506114299975,0.505,0.27674999999999994,0.30389999999999995,0.22825000000000006,-0.027150000000000007,0.20110000000000006,0.4519801980198021,-0.09810298102981034,0.39821782178217835
