variant,case,seed,is_slippery,dense_reward,first_success_episode,first_success_total_steps,resuccess_gap_episodes,post50_success_rate,post100_success_rate
holeless_control,det_sparse,85,0,0,3,470,3,0.4,0.45
holeless_control,det_sparse,86,0,0,3,532,1,0.46,0.38
holeless_control,det_sparse,87,0,0,5,983,8,0.32,0.45
holeless_control,det_sparse,88,0,0,3,491,1,0.38,0.43
holeless_control,det_sparse,89,0,0,1,19,6,0.3,0.36
holeless_control,det_sparse,90,0,0,18,3478,1,0.48,0.45
holeless_control,det_sparse,91,0,0,2,395,2,0.44,0.44
holeless_control,det_sparse,92,0,0,8,1553,2,0.42,0.39
holeless_control,det_sparse,93,0,0,1,122,1,0.42,0.42
holeless_control,det_sparse,94,0,0,1,144,1,0.44,0.42
holeless_control,det_sparse,95,0,0,8,1498,2,0.36,0.39
holeless_control,det_sparse,96,0,0,4,684,2,0.48,0.43
holeless_control,det_sparse,97,0,0,1,173,4,0.28,0.28
holeless_control,det_sparse,98,0,0,1,101,1,0.38,0.39
holeless_control,det_sparse,99,0,0,1,84,1,0.36,0.46
holeless_control,det_dense,0,0,1,2,393,9,0.38,0.42
holeless_control,det_dense,1,0,1,1,102,4,0.38,0.38
holeless_control,det_dense,2,0,1,5,888,4,0.38,0.37
holeless_control,det_dense,3,0,1,1,168,2,0.36,0.41
holeless_control,det_dense,4,0,1,1,81,2,0.36,0.45
holeless_control,det_dense,5,0,1,2,235,1,0.4,0.36
holeless_control,det_dense,6,0,1,3,569,6,0.48,0.45
holeless_control,det_dense,7,0,1,2,329,3,0.38,0.36
holeless_control,det_dense,8,0,1,3,529,3,0.34,0.4
holeless_control,det_dense,9,0,1,2,360,3,0.38,0.37
holeless_control,det_dense,10,0,1,1,69,4,0.34,0.4
holeless_control,det_dense,11,0,1,1,118,1,0.36,0.4
holeless_control,det_dense,12,0,1,4,725,1,0.42,0.46
holeless_control,det_dense,13,0,1,1,58,2,0.44,0.41
holeless_control,det_dense,14,0,1,2,383,1,0.38,0.39
holeless_control,det_dense,15,0,1,2,266,6,0.3,0.38
holeless_control,det_dense,16,0,1,2,343,2,0.34,0.37
holeless_control,det_dense,17,0,1,1,81,1,0.4,0.44
holeless_control,det_dense,18,0,1,2,298,2,0.42,0.42
holeless_control,det_dense,19,0,1,1,90,4,0.42,0.38
holeless_control,det_dense,20,0,1,1,61,6,0.38,0.4
holeless_control,det_dense,21,0,1,1,59,1,0.38,0.39
holeless_control,det_dense,22,0,1,15,2987,5,0.36,0.43
holeless_control,det_dense,23,0,1,2,262,1,0.52,0.47
holeless_control,det_dense,24,0,1,1,76,6,0.3,0.33
holeless_control,det_dense,25,0,1,1,32,3,0.4,0.43
holeless_control,det_dense,26,0,1,1,101,3,0.36,0.37
holeless_control,det_dense,27,0,1,1,131,4,0.42,0.42
holeless_control,det_dense,28,0,1,3,451,4,0.54,0.51
holeless_control,det_dense,29,0,1,1,159,2,0.44,0.41
